id_venda;id_pedido;id_produto;id_cliente;id_loja;data_pedido;quantidade;preco_unitario;valor_desconto;custo_frete;status_pedido;metodo_pagamento;nota_fiscal;nome_produto;categoria_produto;subcategoria_produto;preco_custo;preco_venda;peso_kg;fornecedor_id;nome_fornecedor;data_cadastro_produto;em_estoque;nome_cliente;email_cliente;telefone_cliente;data_cadastro_cliente;segmento_cliente;cidade_cliente;estado_cliente;nome_loja;endereco_loja;cidade_loja;estado_loja;regiao_loja;gerente_loja;data_inauguracao;tipo_loja
1;1;52;19;8;10/12/2023;6.0;540.89;973.6;32.79;Concluído;Cartão de Crédito;NF-35658;Produto 52;Livros;Infantis;390.95;600.88;20.05;12;Fornecedor 12;09/07/2022;True;Cliente 19;cliente19@email.com;(11) 94005-5658;30/12/2022;Premium;Porto Alegre;SP;Loja 8;Endereço da Loja 8;Recife;PE;Nordeste;Gerente 8;08/10/2016;Rua
2;1;21;50;9;21/09/2023;3.0;1045.06;250.81;34.81;Concluído;Boleto;NF-88953;Produto 21;Eletrônicos;Notebooks;474.7;965.98;28.43;13;Fornecedor 15;06/02/2023;True;Cliente 50;cliente50@email.com;(11) 91161-5297;27/09/2022;Corporativo;Porto Alegre;SP;Loja 9;Endereço da Loja 9;Rio de Janeiro;RJ;Sudeste;Gerente 9;04/12/2015;Rua
3;1;53;41;1;16/05/2023;8.0;494.08;237.16;37.01;Concluído;Pix;NF-48660;Produto 53;Móveis;Sofás;144.06;547.27;46.32;10;Fornecedor 9;28/01/2022;False;Cliente 41;cliente41@email.com;(11) 94104-8215;03/03/2022;Varejo;Recife;MG;Loja 1;Endereço da Loja 1;São Paulo;SP;Nordeste;Gerente 1;10/03/2020;Shopping
4;1;86;14;1;25/12/2023;9.0;133.81;36.13;24.77;Concluído;Dinheiro;NF-64268;Produto 86;Roupas;Vestidos;238.75;128.4;25.48;14;Fornecedor 5;11/02/2023;True;Cliente 14;cliente14@email.com;(11) 92678-4242;29/01/2022;Premium;Porto Alegre;PE;Loja 1;Endereço da Loja 1;Recife;PE;Sul;Gerente 1;29/03/2018;Centro Comercial
5;1;71;45;9;08/05/2023;7.0;1004.1;702.87;9.95;Concluído;Boleto;NF-16776;Produto 71;ROUPAS;Vestidos;84.8;930.4;40.92;9;Fornecedor 3;25/12/2022;True;Cliente 45;cliente45@email.com;(11) 96530-5413;14/06/2022;Corporativo;São Paulo;MG;Loja 9;Endereço da Loja 9;Recife;PE;Sul;Gerente 9;11/06/2018;Rua
6;2;44;12;7;22/03/2023;1.0;81.32;9.76;6.49;Concluído;Cartão de Crédito;NF-56717;Produto 44;ROUPAS;Camisetas;204.9;74.24;7.33;12;Fornecedor 10;03/11/2023;True;Cliente 12;cliente12@email.com;(11) 95931-4510;22/07/2022;Corporativo;Belo Horizonte;SP;Loja 7;Endereço da Loja 7;Rio de Janeiro;RJ;Nordeste;Gerente 7;05/02/2017;Shopping
7;1;38;48;9;28/05/2023;4.0;365.7;219.42;15.19;Concluído;Dinheiro;NF-18680;Produto 38;Livros;Biografias;491.79;404.84;34.58;7;Fornecedor 2;03/10/2023;True;Cliente 48;cliente48@email.com;(11) 99120-7616;31/05/2022;Varejo;Rio de Janeiro;MG;Loja 9;Endereço da Loja 9;Porto Alegre;RS;Nordeste;Gerente 9;20/09/2015;Rua
8;1;16;1;5;27/05/2023;3.0;287.33;103.44;44.95;Em processamento;Cartão de Crédito;NF-42711;Produto 16;Móveis;Sofás;260.73;268.22;39.29;8;Fornecedor 4;11/09/2022;True;Cliente 1;cliente1@email.com;(11) 93557-6592;09/04/2022;Corporativo;São Paulo;PE;Loja 5;Endereço da Loja 5;Recife;PE;Nordeste;Gerente 5;03/04/2020;Centro Comercial
9;1;82;33;5;25/06/2023;3.0;238.36;57.21;31.54;Cancelado;Pix;NF-86213;Produto 82;Móveis;Cadeiras;327.72;232.03;45.31;11;Fornecedor 2;04/10/2022;True;Cliente 33;cliente33@email.com;(11) 98022-6600;13/11/2022;Varejo;Belo Horizonte;RS;Loja 5;Endereço da Loja 5;Porto Alegre;RS;Nordeste;Gerente 5;30/06/2016;Centro Comercial
10;1;64;46;6;29/10/2023;5.0;482.12;699.07;8.39;Concluído;Dinheiro;NF-16102;Produto 64;Eletrônicos;Smartphones;497.3;475.25;13.5;3;Fornecedor 2;20/07/2023;True;Cliente 46;cliente46@email.com;(11) 92895-3733;07/10/2022;Varejo;Rio de Janeiro;RJ;Loja 6;Endereço da Loja 6;Belo Horizonte;MG;Sudeste;Gerente 6;04/06/2015;Shopping
